run,rotulo,x,y,yaw,resultado
1,ref,0.0,1.0,0,MISSION_OK
2,ref,0.0,1.0,0,MISSION_OK
3,ref,0.0,1.0,0,MISSION_OK
4,ref,0.0,1.0,0,MISSION_OK
5,ref,0.0,1.0,0,MISSION_OK
