run,rotulo,x,y,yaw,resultado
1,longe,0.0,0.5,0,MISSION_OK
2,longe,0.0,0.5,0,MISSION_OK
3,longe,0.0,0.5,0,MISSION_OK
4,longe,0.0,0.5,0,MISSION_OK
5,longe,0.0,0.5,0,MISSION_OK
