wall,sim,lingueta_mm,lamina_deg,fase
1788443965.58,802.10,-0.00,0.00,
1788443965.68,802.20,0.00,0.00,
1788443965.79,802.30,0.00,0.00,
1788443965.89,802.40,-0.00,0.00,
1788443965.99,802.50,-0.00,0.00,
1788443966.09,802.60,0.01,0.00,
1788443966.20,802.70,-0.00,0.00,
1788443966.30,802.80,-0.01,0.00,
1788443966.40,802.90,-0.00,0.00,
1788443966.50,803.00,-0.00,0.00,
1788443966.60,803.10,0.00,0.00,
1788443966.70,803.20,0.00,0.00,
1788443966.80,803.30,0.00,0.00,
1788443966.90,803.40,0.00,0.00,
1788443967.00,803.50,-0.00,0.00,
1788443967.10,803.60,0.00,0.00,
1788443967.21,803.70,0.00,0.00,
1788443967.31,803.80,0.01,0.00,
1788443967.41,803.90,0.01,0.00,
1788443967.51,804.00,0.00,0.00,
1788443967.61,804.10,0.01,0.00,
1788443967.71,804.20,0.00,0.00,
1788443967.81,804.30,0.00,0.00,
1788443967.91,804.40,0.00,0.00,
1788443968.01,804.50,-0.00,0.00,
1788443968.11,804.60,0.00,0.00,
1788443968.22,804.70,0.01,0.00,
1788443968.32,804.80,0.00,0.00,
1788443968.42,804.90,0.00,0.00,
1788443968.52,805.00,-0.00,0.00,
1788443968.62,805.10,0.01,0.00,
1788443968.72,805.20,-0.00,0.00,
1788443968.82,805.30,-0.00,0.00,
1788443968.92,805.40,-0.00,0.00,
1788443969.02,805.50,0.01,0.00,
1788443969.12,805.60,0.01,0.00,
1788443969.23,805.70,0.00,0.00,
1788443969.32,805.80,-0.00,0.00,
1788443969.43,805.90,0.00,0.00,
1788443969.53,806.00,0.00,0.00,
1788443969.63,806.10,0.01,0.00,
1788443969.73,806.20,0.00,0.00,
1788443969.83,806.30,-0.00,0.00,
1788443969.93,806.40,-0.00,0.00,
1788443970.04,806.50,-0.00,0.00,
1788443970.14,806.60,0.01,0.00,
1788443970.24,806.70,-0.00,0.00,
1788443970.34,806.80,0.00,0.00,
1788443970.44,806.90,0.00,0.00,
1788443970.54,807.00,0.01,0.00,
1788443970.64,807.10,-0.00,0.00,
1788443970.74,807.20,0.01,0.00,
1788443970.84,807.30,-0.00,0.00,
1788443970.95,807.40,0.01,0.00,
1788443971.04,807.50,0.01,0.00,
1788443971.15,807.60,-0.00,0.00,
1788443971.25,807.70,0.01,0.00,
1788443971.35,807.80,0.00,0.00,
1788443971.45,807.90,-0.00,0.00,
1788443971.55,808.00,0.00,0.00,
1788443971.65,808.10,0.00,0.00,
1788443971.75,808.20,0.00,0.00,
1788443971.85,808.30,0.00,0.00,
1788443971.95,808.40,-0.00,0.00,
1788443972.05,808.50,-0.00,0.00,
1788443972.16,808.60,0.00,0.00,
1788443972.25,808.70,0.00,0.00,
1788443972.36,808.80,0.01,0.00,
1788443972.46,808.90,0.01,0.00,
1788443972.56,809.00,0.00,0.00,
1788443972.66,809.10,0.00,0.00,
1788443972.77,809.20,0.01,0.00,
1788443972.87,809.30,0.00,0.00,
1788443972.97,809.40,-0.00,0.00,
1788443973.07,809.50,0.00,0.00,
